   WAVE          FLUX
    cm        erg/s/cm^3
9.120000e-06 0.000000e+00
9.226562e-06 0.000000e+00
9.334368e-06 0.000000e+00
9.443435e-06 0.000000e+00
9.553776e-06 0.000000e+00
9.665406e-06 0.000000e+00
9.778340e-06 0.000000e+00
9.892594e-06 0.000000e+00
1.000818e-05 0.000000e+00
1.012512e-05 0.000000e+00
1.024343e-05 0.000000e+00
1.036312e-05 0.000000e+00
1.048420e-05 0.000000e+00
1.060671e-05 0.000000e+00
1.073064e-05 0.000000e+00
1.085602e-05 0.000000e+00
1.098286e-05 0.000000e+00
1.111119e-05 0.000000e+00
1.124102e-05 0.000000e+00
1.137237e-05 0.000000e+00
1.150524e-05 0.000000e+00
1.163968e-05 0.000000e+00
1.177568e-05 0.000000e+00
1.191327e-05 0.000000e+00
1.205247e-05 0.000000e+00
1.219330e-05 0.000000e+00
1.233577e-05 0.000000e+00
1.247990e-05 0.000000e+00
1.262572e-05 0.000000e+00
1.277325e-05 0.000000e+00
1.292249e-05 0.000000e+00
1.307349e-05 1.144648e-02
1.322624e-05 1.938356e-02
1.338078e-05 3.257393e-02
1.353713e-05 5.442578e-02
1.369530e-05 9.033329e-02
1.385532e-05 1.489456e-01
1.401721e-05 2.439769e-01
1.418100e-05 3.969025e-01
1.434669e-05 6.418651e-01
1.451433e-05 1.032367e+00
1.468392e-05 1.648371e+00
1.485549e-05 2.618664e+00
1.502907e-05 4.133055e+00
1.520467e-05 6.484596e+00
1.538233e-05 1.010811e+01
1.556206e-05 1.567996e+01
1.574390e-05 2.416878e+01
1.592785e-05 3.705439e+01
1.611396e-05 5.651101e+01
1.630224e-05 8.565366e+01
1.649272e-05 1.291515e+02
1.668543e-05 1.937489e+02
1.688039e-05 2.890344e+02
1.707763e-05 4.288350e+02
1.727717e-05 6.322442e+02
1.747904e-05 9.299586e+02
1.768327e-05 1.358173e+03
1.788989e-05 1.972692e+03
1.809893e-05 2.855720e+03
1.831040e-05 4.110195e+03
1.852435e-05 5.887874e+03
1.874079e-05 8.379226e+03
1.895977e-05 1.189170e+04
1.918130e-05 1.678434e+04
1.940542e-05 2.363318e+04
1.963216e-05 3.302977e+04
1.986155e-05 4.595703e+04
2.009362e-05 6.371686e+04
2.032840e-05 8.793906e+04
2.056593e-05 1.208434e+05
2.080623e-05 2.337031e+05
2.104934e-05 7.242610e+06
2.129529e-05 2.842269e+06
2.154411e-05 1.623057e+07
2.179584e-05 5.843273e+05
2.205051e-05 3.014444e+07
2.230816e-05 9.532730e+06
2.256881e-05 1.251054e+07
2.283252e-05 2.930211e+07
2.309930e-05 3.176002e+07
2.336920e-05 1.180206e+08
2.364226e-05 1.433128e+08
2.391850e-05 6.010309e+06
2.419798e-05 2.408269e+07
2.448072e-05 7.237493e+07
2.476676e-05 6.332546e+07
2.505614e-05 6.771648e+07
2.534891e-05 1.396628e+08
2.564509e-05 1.075071e+08
2.594474e-05 3.074064e+07
2.624789e-05 4.881671e+08
2.655458e-05 4.090062e+09
2.686486e-05 8.671535e+08
2.717875e-05 2.776836e+08
2.749632e-05 1.288637e+09
2.781760e-05 5.419123e+08
2.814263e-05 1.310726e+09
2.847146e-05 2.208501e+08
2.880413e-05 1.941195e+09
2.914069e-05 5.546846e+09
2.948118e-05 1.162189e+09
2.982565e-05 4.371840e+08
3.017415e-05 4.745129e+09
3.052671e-05 1.030822e+10
3.088340e-05 1.224975e+09
3.124425e-05 2.880105e+10
3.160932e-05 6.843397e+09
3.197866e-05 1.366783e+09
3.235231e-05 2.454571e+10
3.273033e-05 1.271786e+10
3.311276e-05 2.687894e+10
3.349966e-05 4.099240e+09
3.389109e-05 3.930848e+09
3.428708e-05 2.613214e+11
3.468771e-05 1.330427e+11
3.509301e-05 1.523930e+11
3.550305e-05 8.659517e+10
3.591789e-05 1.227713e+11
3.633756e-05 1.602247e+11
3.676215e-05 5.512273e+11
3.719169e-05 1.313754e+11
3.762625e-05 2.499158e+11
3.806589e-05 1.673774e+11
3.851067e-05 1.808690e+10
3.896064e-05 4.495385e+10
3.941587e-05 1.817446e+11
3.987642e-05 9.959190e+11
4.034236e-05 2.960720e+10
4.081373e-05 6.411697e+11
4.129062e-05 2.358208e+11
4.177307e-05 1.269234e+12
4.226117e-05 1.120697e+11
4.275496e-05 4.268725e+11
4.325453e-05 2.106081e+12
4.375993e-05 5.768530e+11
4.427124e-05 1.971687e+11
4.478852e-05 1.750440e+12
4.531185e-05 1.607235e+12
4.584129e-05 3.864278e+12
4.637692e-05 9.514991e+11
4.691880e-05 4.125238e+12
4.746702e-05 1.924053e+12
4.802164e-05 1.003893e+12
4.858275e-05 1.323578e+12
4.915041e-05 9.062634e+11
4.972470e-05 7.786554e+11
5.030570e-05 9.516402e+11
5.089349e-05 7.705179e+12
5.148815e-05 8.624224e+11
5.208976e-05 2.422091e+12
5.269840e-05 5.219039e+12
5.331415e-05 2.617923e+12
5.393709e-05 5.309924e+12
